"type","period","household","individual","adm0","adm1_dep","adm2_dep","reason","adm1_arr","adm2_arr","ADM2_ID","adm3_arr","ADM3_ID2","adm0_arr"
"idp","in 2014",11,66,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","DEMSA","NGA002001","BILLE","NGA002001101","Nigeria"
"idp","in 2014",35,210,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","DEMSA","NGA002001","BORRONG","NGA002001102","Nigeria"
"idp","in 2014",47,282,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","DEMSA","NGA002001","DEMSA","NGA002001103","Nigeria"
"idp","in 2014",18,108,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","DEMSA","NGA002001","DILLI","NGA002001104","Nigeria"
"idp","in 2014",14,84,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","DEMSA","NGA002001","DONG","NGA002001105","Nigeria"
"idp","in 2014",40,240,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","DEMSA","NGA002001","DWAM","NGA002001106","Nigeria"
"idp","in 2014",13,78,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","DEMSA","NGA002001","KPASHAM","NGA002001108","Nigeria"
"idp","in 2014",10,60,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","DEMSA","NGA002001","MBULA KULI","NGA002001109","Nigeria"
"idp","in 2014",15,90,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","DEMSA","NGA002001","NASSARAWO DEMSA","NGA002001110","Nigeria"
"idp","in 2014",18,154,"Nigeria","BORNO","ASKIRA / UBA","Insurgency","ADAMAWA","FUFORE","NGA002002","BETI","NGA002002201","Nigeria"
"idp","in 2014",27,231,"Nigeria","BORNO","ASKIRA / UBA","Insurgency","ADAMAWA","FUFORE","NGA002002","FARANG","NGA002002202","Nigeria"
"idp","in 2014",369,3150,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","FUFORE","NGA002002","FUFORE","NGA002002203","Nigeria"
"idp","in 2014",41,455,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","FUFORE","NGA002002","GURIN","NGA002002204","Nigeria"
"idp","in 2014",295,2448,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","FUFORE","NGA002002","PARIYA","NGA002002207","Nigeria"
"idp","in 2014",144,1230,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","FUFORE","NGA002002","RIBADU","NGA002002208","Nigeria"
"idp","in 2014",9,72,"Nigeria","ADAMAWA","MUBI NORTH","Insurgency","ADAMAWA","GANYE","NGA002003","GAMU","NGA002003302","Nigeria"
"idp","in 2014",51,391,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","GANYE","NGA002003","GANYE I","NGA002003303","Nigeria"
"idp","in 2014",28,197,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","GANYE","NGA002003","GANYE II","NGA002003304","Nigeria"
"idp","in 2014",15,135,"Nigeria","ADAMAWA","MUBI SOUTH","Insurgency","ADAMAWA","GANYE","NGA002003","SANGASUMI","NGA002003307","Nigeria"
"idp","in 2014",13,117,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","GANYE","NGA002003","SUGU","NGA002003308","Nigeria"
"idp","in 2014",25,124,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","GIREI","NGA002004","DAKRI","NGA002004401","Nigeria"
"idp","in 2014",461,3022,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","GIREI","NGA002004","DAMARE","NGA002004402","Nigeria"
"idp","in 2014",392,2610,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","GIREI","NGA002004","GIREI I","NGA002004403","Nigeria"
"idp","in 2014",115,687,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","GIREI","NGA002004","GIREI  II","NGA002004404","Nigeria"
"idp","in 2014",57,302,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","GIREI","NGA002004","GERENG","NGA002004405","Nigeria"
"idp","in 2014",62,386,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","GIREI","NGA002004","JERA BAKARI","NGA002004406","Nigeria"
"idp","in 2014",270,1761,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","GIREI","NGA002004","MODIRE/ VINIKILANG","NGA002004408","Nigeria"
"idp","in 2014",47,243,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","GIREI","NGA002004","TAMBO","NGA002004409","Nigeria"
"idp","in 2014",38,196,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","GIREI","NGA002004","WURO DOLE","NGA002004410","Nigeria"
"idp","in 2014",17,191,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","GOMBI","NGA002005","BOGA/ DINGAI","NGA002005501","Nigeria"
"idp","in 2014",12,135,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","GOMBI","NGA002005","DUWA","NGA002005502","Nigeria"
"idp","in 2014",11,123,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","GOMBI","NGA002005","GA'ANDA","NGA002005503","Nigeria"
"idp","in 2014",18,202,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","GOMBI","NGA002005","GABUN","NGA002005504","Nigeria"
"idp","Before 2014",24,269,"Nigeria","BORNO","GWOZA","Insurgency","ADAMAWA","GOMBI","NGA002005","GOMBI NORTH","NGA002005505","Nigeria"
"idp","in 2014",23,258,"Nigeria","ADAMAWA","MUBI SOUTH","Insurgency","ADAMAWA","GOMBI","NGA002005","GOMBI SOUTH","NGA002005506","Nigeria"
"idp","in 2014",22,247,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","GOMBI","NGA002005","GARKIDA","NGA002005507","Nigeria"
"idp","Before 2014",20,224,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","GOMBI","NGA002005","GUYAKU","NGA002005508","Nigeria"
"idp","in 2014",16,179,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","GOMBI","NGA002005","TAWA","NGA002005509","Nigeria"
"idp","in 2014",18,202,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","GOMBI","NGA002005","YANG","NGA002005510","Nigeria"
"idp","in 2014",5,33,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","GUYUK","NGA002006","BANJIRAM","NGA002006601","Nigeria"
"idp","in 2014",31,215,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","GUYUK","NGA002006","GUYUK","NGA002006607","Nigeria"
"idp","in 2014",8,52,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","GUYUK","NGA002006","LOKORO","NGA002006609","Nigeria"
"idp","in 2014",14,103,"Nigeria","ADAMAWA","MADAGALI","Insurgency","ADAMAWA","GUYUK","NGA002006","PUROKAYO","NGA002006610","Nigeria"
"idp","in 2015",13,92,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","HONG","NGA002007","BANGSHIKA","NGA002007701","Nigeria"
"idp","in 2015",34,242,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","HONG","NGA002007","DAKSIRI","NGA002007702","Nigeria"
"idp","in 2015",25,167,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","HONG","NGA002007","GARAHA","NGA002007703","Nigeria"
"idp","in 2015",17,121,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","HONG","NGA002007","GAYA","NGA002007704","Nigeria"
"idp","in 2015",16,109,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","HONG","NGA002007","HILDI","NGA002007705","Nigeria"
"idp","in 2015",19,131,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","HONG","NGA002007","HONG","NGA002007706","Nigeria"
"idp","in 2015",9,61,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","HONG","NGA002007","HUSHERE ZUM","NGA002007707","Nigeria"
"idp","in 2015",18,127,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","HONG","NGA002007","KWARHI","NGA002007708","Nigeria"
"idp","in 2015",16,114,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","HONG","NGA002007","MAYO LOPE","NGA002007709","Nigeria"
"idp","in 2015",19,136,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","HONG","NGA002007","SHANGUI","NGA002007710","Nigeria"
"idp","in 2015",20,139,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","HONG","NGA002007","THILBANG","NGA002007711","Nigeria"
"idp","in 2015",18,123,"Nigeria","ADAMAWA","HONG","Insurgency","ADAMAWA","HONG","NGA002007","UBA","NGA002007712","Nigeria"
"idp","in 2014",48,288,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","JADA","NGA002008","JADA I","NGA002008802","Nigeria"
"idp","in 2014",54,328,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","JADA","NGA002008","JADA II","NGA002008803","Nigeria"
"idp","in 2014",10,73,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","JADA","NGA002008","KOMA I","NGA002008804","Nigeria"
"idp","in 2014",18,130,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","JADA","NGA002008","KOMA II","NGA002008805","Nigeria"
"idp","in 2014",2,10,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","JADA","NGA002008","MAYOKALAYE","NGA002008808","Nigeria"
"idp","in 2014",3,15,"Nigeria","ADAMAWA","MICHIKA","Insurgency","ADAMAWA","JADA","NGA002008","MBULO","NGA002008809","Nigeria"
"idp","in 2014",38,324,"Nigeria","ADAMAWA","LAMURDE","Natural Disaster","ADAMAWA","LAMURDE","NGA002009","DUBWANGUN","NGA002009901","Nigeria"
"idp","in 2014",20,89,"Nigeria","ADAMAWA","LAMURDE","Insurgency","ADAMAWA","LAMURDE","NGA002009","GYAWANA","NGA002009902","Nigeria"
"idp","in 2014",39,326,"Nigeria","ADAMAWA","LAMURDE","Natural Disaster","ADAMAWA","LAMURDE","NGA002009","GYAWANA","NGA002009902","Nigeria"
