state_pcode,state_name,lga_pcode,lga_name,ward_pcode,ward_name,estimate_hh_Ward,estimate_Ind_Ward,location_type,Location name,SSID,Year,state_orig,lga_orig,reason_insurgency_YesNo,reason_insurg_hh,reason_insurg_ind,reason_clash_YesNo,reason_clash_hh,reason_clash_ind,reason_disaster_YesNo,reason_disaster_hh,reason_disaster_ind
NGA002,ADAMAWA,NGA002002,FUFORE,NGA002002203,FUFORE,254,1865,Camp,FUFORE CAMP,AD_S019,,BORNO,BAMA,,,,,,,,,
NGA002,ADAMAWA,NGA002002,FUFORE,NGA002002207,PARIYA,221,1813,Camp,DAWARE CAMP,AD_S006,,BORNO,GWOZA,,,,,,,,,
NGA002,ADAMAWA,NGA002004,GIREI,NGA002004402,DAMARE,286,1864,Camp,NYSC CAMP DAMARE,AD_S001,,BORNO,GWOZA,,,,,,,,,
NGA002,ADAMAWA,NGA002004,GIREI,NGA002004408,MODIRE/ VINIKILANG,13,34,Camp,EYN CHURCH,AD_S005,,ADAMAWA,MICHIKA,,,,,,,,,
NGA002,ADAMAWA,NGA002015,MUBI SOUTH,NGA002015504,GUDE,15,61,Camp,GUDE CAMP,AD_S021,,BORNO,DAMBOA,,,,,,,,,
NGA002,ADAMAWA,NGA002020,YOLA NORTH,NGA002020004,GWADABAWA,27,120,Camp,LABOUR HOUSE,AD_S022,,ADAMAWA,MICHIKA,,,,,,,,,
NGA002,ADAMAWA,NGA002020,YOLA NORTH,NGA002020008,LUGGERE,63,604,Camp,ST-THERESA CATHEDRAL,AD_S008,,ADAMAWA,MICHIKA,,,,,,,,,
NGA002,ADAMAWA,NGA002021,YOLA SOUTH,NGA002021104,NAMTARI,54,247,Camp,DEEPER LIFE CAMP,AD_S002,,ADAMAWA,MADAGALI,,,,,,,,,
NGA002,ADAMAWA,NGA002021,YOLA SOUTH,NGA002021104,NAMTARI,227,1378,Camp,MALKOHI CAMP,AD_S003,,ADAMAWA,MADAGALI,,,,,,,,,
NGA002,ADAMAWA,NGA002021,YOLA SOUTH,NGA002021104,NAMTARI,215,855,Camp,MALKOHI VILLAGE,AD_S004,,BORNO,GWOZA,,,,,,,,,
NGA005,BAUCHI,NGA005017,TAFAWA BALEWA,NGA005017702,"KARDAM ""B""",297,1485,Camp,GJSS BOTO,BA_S001,,PLATEAU,MANGU,,,,,,,,,
NGA007,BENUE,NGA007013,MAKURDI,NGA007013301,AGAN,40,439,Camp,TOLL GATE,BN_S001,,BENUE,GUMA,,,,,,,,,
NGA008,BORNO,NGA008002,ASKIRA / UBA,NGA008002210,UBA,338,2316,Camp,GSS UBA,BO_S023,,BORNO,GWOZA,,,,,,,,,
NGA008,BORNO,NGA008005,BIU,NGA008005506,KENKEN,649,4016,Camp,GSSS BIU,BO_S015,,YOBE,GUJBA,,,,,,,,,
NGA008,BORNO,NGA008013,JERE,NGA008013302,BALE GALTIMARI,19,127,Camp,FORI PRIMARY SCHOOL,BO_S001,,BORNO,BAMA,,,,,,,,,
NGA008,BORNO,NGA008013,JERE,NGA008013302,BALE GALTIMARI,70,460,Camp,BELE GALTIMARI PRIMARY SCHOOL,BO_S004,,BORNO,BAMA,,,,,,,,,
NGA008,BORNO,NGA008013,JERE,NGA008013304,DUSUMAN,1294,7673,Camp,FARM CENTER,BO_S018,,BORNO,MAFA,,,,,,,,,
NGA008,BORNO,NGA008013,JERE,NGA008013307,MASHAMARI,758,5686,Camp,SHEHU SANDA KYARIMI PRI SCHOOL,BO_S002,,BORNO,DIKWA,,,,,,,,,
